Date,Apple ,Google ,Microsoft ,Amazon ,Intel ,VTI ,,,,,
2/24/2011,12.245714,303.273254,26.77,177.75,21.290001,67.489998,,,,,
2/25/2011,12.434286,303.880981,26.549999,177.240005,21.860001,68.339996,,,,,
2/28/2011,12.614643,305.554718,26.58,173.289993,21.469999,68.709999,,,,,
3/1/2011,12.475357,299.258301,26.16,169.440002,21.389999,67.550003,,,,,
3/2/2011,12.575714,299.273254,26.08,172.020004,21.49,67.690002,,,,,
3/3/2011,12.841429,303.641876,26.200001,172.789993,21.790001,68.919998,,,,,
3/4/2011,12.857142,299.188568,25.950001,171.669998,21.559999,68.459999,,,,,
3/7/2011,12.691428,294.725311,25.719999,169.080002,21.209999,67.839996,,,,,
3/8/2011,12.705714,295.049072,25.91,166.889999,21.129999,68.449997,,,,,
3/9/2011,12.588214,294.78009,25.889999,169.050003,21.200001,68.349998,,,,,
3/10/2011,12.381071,289.066498,25.41,166.139999,20.790001,67.040001,,,,,
3/11/2011,12.571072,287.278198,25.68,168.070007,20.870001,67.489998,,,,,
3/14/2011,12.627143,283.930756,25.690001,166.729996,20.84,67.080002,,,,,
3/15/2011,12.336785,283.716553,25.389999,165.080002,20.18,66.370003,,,,,
3/16/2011,11.786072,277.509827,24.790001,164.699997,19.809999,65.220001,,,,,
3/17/2011,11.951428,279.631866,24.780001,160.970001,19.9,65.970001,,,,,
3/18/2011,11.809643,279.482422,24.799999,161.820007,19.93,66.279999,,,,,
3/21/2011,12.117857,287.173615,25.33,164.520004,20.190001,67.32,,,,,
3/22/2011,12.185715,287.582062,25.299999,162.600006,20.15,67.099998,,,,,
3/23/2011,12.113929,289.993042,25.540001,165.320007,20.290001,67.260002,,,,,
3/24/2011,12.320357,292.349213,25.809999,171.100006,20.379999,67.900002,,,,,
3/25/2011,12.555,288.787567,25.620001,170.979996,20.370001,67.860001,,,,,
3/28/2011,12.515715,286.605743,25.41,169.350006,20.34,67.699997,,,,,
3/29/2011,12.534286,289.778839,25.49,174.619995,20.280001,68.199997,,,,,
3/30/2011,12.451072,289.833618,25.610001,179.419998,20.459999,68.709999,,,,,
3/31/2011,12.446786,292.284454,25.389999,180.130005,20.18,68.709999,,,,,
4/1/2011,12.305715,294.795044,25.48,180.130005,19.719999,69.040001,,,,,
4/4/2011,12.185357,292.742737,25.549999,182.940002,19.49,69.099998,,,,,
4/5/2011,12.103214,283.482452,25.780001,185.289993,19.709999,69.139999,,,,,
4/6/2011,12.072857,286.017944,26.15,182.759995,19.950001,69.32,,,,,
4/7/2011,12.074286,288.917053,26.200001,184.910004,20.030001,69.120003,,,,,
4/8/2011,11.966429,288.000488,26.07,184.710007,20.02,68.830002,,,,,
4/11/2011,11.814285,287.606964,25.98,184.039993,20.120001,68.580002,,,,,
4/12/2011,11.871428,284.239594,25.639999,180.479996,19.76,68,,,,,
4/13/2011,12.004642,287.064026,25.629999,182.289993,19.780001,68.040001,,,,,
4/14/2011,11.872143,288.174835,25.42,181.820007,19.58,68.080002,,,,,
4/15/2011,11.695,264.359131,25.370001,180.009995,19.75,68.410004,,,,,
4/18/2011,11.851786,262.43631,25.08,178.339996,19.620001,67.589996,,,,,
4/19/2011,12.066428,259.791229,25.15,178.820007,19.860001,67.980003,,,,,
4/20/2011,12.228929,261.883392,25.76,183.869995,21.41,68.970001,,,,,
4/21/2011,12.525,261.56958,25.52,185.889999,21.459999,69.309998,,,,,
4/25/2011,12.6075,261.544678,25.610001,185.419998,21.940001,69.239998,,,,,
4/26/2011,12.515,265.415161,26.190001,182.300003,22.48,69.849998,,,,,
4/27/2011,12.505357,267.875946,26.379999,196.630005,22.629999,70.309998,,,,,
4/28/2011,12.383928,267.98053,26.709999,195.070007,22.799999,70.519997,,,,,
4/29/2011,12.504642,271.034088,25.92,195.809998,23.15,70.699997,,,,,
5/2/2011,12.367143,268.274445,25.66,201.190002,22.91,70.580002,,,,,
5/3/2011,12.435715,265.948151,25.809999,198.449997,23.23,70.190002,,,,,
5/4/2011,12.484643,266.894623,26.059999,199.970001,23.5,69.669998,,,,,
5/5/2011,12.383928,266.137451,25.790001,197.110001,23.610001,69.110001,,,,,
5/6/2011,12.380714,266.650543,25.870001,197.600006,23.25,69.410004,,,,,
5/9/2011,12.414286,267.83609,25.83,200.800003,22.76,69.779999,,,,,
5/10/2011,12.480357,270.316772,25.67,203.940002,23.030001,70.400002,,,,,
5/11/2011,12.401072,266.72525,25.360001,204.380005,23.41,69.68,,,,,
5/12/2011,12.3775,266.526001,25.32,206.070007,23.709999,70.010002,,,,,
5/13/2011,12.160714,263.786255,25.030001,202.559998,23.41,69.370003,,,,,
5/16/2011,11.903571,258.242035,24.57,192.509995,23.639999,68.889999,,,,,
5/17/2011,12.005,264.239563,24.52,194.809998,23.549999,68.830002,,,,,
5/18/2011,12.138214,263.915771,24.690001,197.089996,23.879999,69.489998,,,,,
5/19/2011,12.161786,264.633087,24.719999,198.800003,23.540001,69.660004,,,,,
5/20/2011,11.972143,261.03656,24.49,198.649994,23.219999,69.139999,,,,,
5/23/2011,11.942857,258.227112,24.17,196.220001,22.860001,68.260002,,,,,
5/24/2011,11.863929,258.162354,24.15,193.270004,22.610001,68.190002,,,,,
5/25/2011,12.027857,258.864716,24.190001,192.259995,22.68,68.470001,,,,,
5/26/2011,11.964286,258.097595,24.67,195,22.5,68.879997,,,,,
5/27/2011,12.050357,259.477417,24.76,194.130005,22.209999,69.199997,,,,,
